epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,258.016,1.99761,1.24671,0,0.5554,0.44133,0.45771,0.21904,1.96106,1.24627,0,0.00189905,0.00189905,0.00189905
147,259.739,1.95909,1.23977,0,0.59817,0.43872,0.4695,0.21683,1.98403,1.23573,0,0.00189767,0.00189767,0.00189767
148,261.434,1.98657,1.24107,0,0.57706,0.46285,0.4755,0.22313,1.96427,1.24068,0,0.00189629,0.00189629,0.00189629
149,263.129,1.98618,1.24554,0,0.56928,0.45259,0.47192,0.22114,1.96036,1.24902,0,0.0018949,0.0018949,0.0018949
150,264.858,1.9812,1.23745,0,0.56979,0.45059,0.46549,0.21323,1.99181,1.24614,0,0.0018935,0.0018935,0.0018935
151,266.704,1.97395,1.24453,0,0.57401,0.45276,0.46976,0.22265,1.93971,1.23978,0,0.0018921,0.0018921,0.0018921
152,268.421,1.94681,1.22593,0,0.56901,0.45634,0.46527,0.2162,1.96897,1.24269,0,0.00189068,0.00189068,0.00189068
153,270.056,1.96793,1.22335,0,0.57718,0.45109,0.47678,0.22563,1.92986,1.22425,0,0.00188926,0.00188926,0.00188926
154,271.82,1.95929,1.2339,0,0.57838,0.46264,0.47928,0.22339,1.96068,1.23738,0,0.00188782,0.00188782,0.00188782
155,273.508,1.9635,1.21461,0,0.55931,0.44884,0.45705,0.20801,2.02332,1.25117,0,0.00188638,0.00188638,0.00188638
156,275.154,1.9996,1.22779,0,0.57259,0.45617,0.47273,0.22057,1.96599,1.23994,0,0.00188493,0.00188493,0.00188493
157,276.723,1.96405,1.22581,0,0.54669,0.46104,0.46023,0.2074,2.02548,1.26502,0,0.00188347,0.00188347,0.00188347
158,278.44,1.98662,1.2257,0,0.57524,0.452,0.47138,0.22723,1.91325,1.24205,0,0.001882,0.001882,0.001882
159,279.966,1.94646,1.23141,0,0.55238,0.46064,0.47286,0.22593,1.9276,1.22895,0,0.00188052,0.00188052,0.00188052
160,281.428,1.97419,1.21507,0,0.55174,0.46485,0.46845,0.21711,1.97395,1.23351,0,0.00187904,0.00187904,0.00187904
161,282.961,1.96548,1.22736,0,0.58106,0.47331,0.48262,0.22929,1.91113,1.2263,0,0.00187754,0.00187754,0.00187754
162,284.4,1.93716,1.22315,0,0.54731,0.45259,0.4555,0.20554,1.99784,1.24599,0,0.00187604,0.00187604,0.00187604
163,286.082,1.9728,1.22084,0,0.57349,0.4601,0.48017,0.22564,1.93249,1.22829,0,0.00187453,0.00187453,0.00187453
164,287.775,1.92586,1.22895,0,0.57612,0.4651,0.47537,0.22626,1.92144,1.21458,0,0.00187301,0.00187301,0.00187301
165,289.437,1.96234,1.21004,0,0.59152,0.4641,0.48342,0.23083,1.9051,1.21353,0,0.00187148,0.00187148,0.00187148
166,291.471,1.93579,1.21206,0,0.57713,0.4671,0.48001,0.22823,1.91367,1.2308,0,0.00186995,0.00186995,0.00186995
167,293.182,1.89014,1.19614,0,0.5824,0.47761,0.48265,0.23313,1.89024,1.21812,0,0.0018684,0.0018684,0.0018684
168,294.874,1.95568,1.21514,0,0.57688,0.45684,0.46956,0.22103,1.92372,1.25487,0,0.00186685,0.00186685,0.00186685
169,296.658,1.9609,1.21765,0,0.56932,0.46735,0.47545,0.22815,1.90985,1.21487,0,0.00186528,0.00186528,0.00186528
170,298.386,1.9673,1.20877,0,0.58335,0.45634,0.48168,0.23117,1.90698,1.22442,0,0.00186371,0.00186371,0.00186371
171,300.303,1.96161,1.21719,0,0.59051,0.45084,0.47507,0.22249,1.92928,1.23939,0,0.00186213,0.00186213,0.00186213
172,302.036,1.9299,1.22131,0,0.58682,0.46385,0.47955,0.2291,1.90192,1.2094,0,0.00186055,0.00186055,0.00186055
173,303.756,1.88877,1.20001,0,0.58204,0.45184,0.47388,0.22464,1.94725,1.23233,0,0.00185895,0.00185895,0.00185895
174,305.427,1.91668,1.21424,0,0.57075,0.4706,0.4738,0.22385,1.91729,1.2393,0,0.00185735,0.00185735,0.00185735
175,307.083,1.90877,1.20953,0,0.59116,0.47886,0.4904,0.23111,1.90899,1.23696,0,0.00185573,0.00185573,0.00185573
176,308.927,1.90877,1.20194,0,0.59865,0.46908,0.48854,0.23599,1.88618,1.21992,0,0.00185411,0.00185411,0.00185411
177,310.631,1.89656,1.19828,0,0.57766,0.47436,0.4728,0.22274,1.94179,1.26152,0,0.00185248,0.00185248,0.00185248
178,312.325,1.89977,1.20269,0,0.57395,0.4636,0.484,0.23331,1.89279,1.21445,0,0.00185085,0.00185085,0.00185085
179,313.993,1.88209,1.19934,0,0.59418,0.46229,0.48347,0.23804,1.87818,1.20086,0,0.0018492,0.0018492,0.0018492
